Title                                                                                              | Code         | Files Number |                              |
Gia                                                                                                | C49          | 1            |                              |
Hostel Part 2                                                                                      | C49          | 1            |                              |
knocked up                                                                                         | C49          | 1            |                              |
lost in space                                                                                      | C49          | 1            |                              |
the seven year itch                                                                                | C5           | 1            |                              |
transamerica                                                                                       | C5           | 1            |                              |
unforgiven                                                                                         | C5           | 1            |                              |
van helsing                                                                                        | C5           | 2            |                              |
when will I be loved                                                                               | C5           | 1            |                              |
Norbit                                                                                             | C50          | 1            |                              |
Ocean's Thirteen                                                                                   | C50          | 1            |                              |
Pirates of the Caribbean At World's End                                                            | C50          | 1            |                              |
Ratatouille                                                                                        | C50          | 1            |                              |
Resident Evil Extinction                                                                           | C50          | 1            |                              |
Roma, citt… aperta(Open City)                                                                   | C50          | 1            |                              |
Vampyr(Der Traum des Allan Gray)                                                                   | C51          | 2            |                              |
The Count of Monte Cristo                                                                          | C51          | 1            |                              |
Warm Water Under a Red Bridge [Akai hashi no shita no nurui mizu]                                  | C51          | 2            |                              |
West of Zanzibar                                                                                   | C51          | 1            |                              |
Under the Roofs of Paris                                                                           | C52          | 1            |                              |
Until The End Of The World                                                                         | C52          | 3            |                              |
Waking Life                                                                                        | C52          | 1            |                              |
Beyond Re-Animator                                                                                 | C53          | 1            |                              |
She Done Him Wrong                                                                                 | C53          | 1            |                              |
Sherlock Jr.                                                                                       | C53          | 1            |                              |
Walk in the Clouds, A                                                                              | C53          | 1            |                              |
Wind And The Lion                                                                                  | C53          | 1            |                              |
Woman Is the Future of Man                                                                         | C53          | 1            |                              |
Song of the Road                                                                                   | C54          | 2            |                              |
Soul of a Man, The                                                                                 | C54          | 1            |                              |
Stella Dallas                                                                                      | C54          | 1            |                              |
Thing, The                                                                                         | C54          | 1            |                              |
Topkapi                                                                                            | C54          | 1            |                              |
Black Cat White Cat                                                                                | C55          | 2            |                              |
City of lost children                                                                              | C55          | 1            |                              |
Mimic                                                                                              | C55          | 1            |                              |
trainspotting                                                                                      | C55          | 1            |                              |
Zat“ichi                                                                                        | C55          | 1            |                              |
bonnie scotland                                                                                    | C6           | 1            |                              |
il mostro                                                                                          | C6           | 1            |                              |
johnny stechio                                                                                     | C6           | 1            |                              |
stay iron                                                                                          | C6           | 2            |                              |
the years of our lives                                                                             | C6           | 1            |                              |
bull durham                                                                                        | C7           | 2            |                              |
dinosaur                                                                                           | C7           | 1            |                              |
meet the parents                                                                                   | C7           | 2            |                              |
guardiami                                                                                          | C8           | 1            |                              |
hellboy                                                                                            | C8           | 2            |                              |
terminator                                                                                         | C8           | 1            |                              |
the last of the mohicans                                                                           | C8           | 1            |                              |
13 going on 30                                                                                     | C9           | 1            |                              |
2 fast 2 real                                                                                      | C9           | 1            |                              |
a few good man                                                                                     | C9           | 1            |                              |
being john malkovich                                                                               | C9           | 1            |                              |
blade I                                                                                            | C9           | 1            |                              |
fear & lothing in las vegas                                                                        | C9           | 1            |                              |
SHINE                                                                                              | D1           | DVD          |                              |
U turn                                                                                             | D10          | DVD          |                              |
Femme Fatal                                                                                        | D11          | DVD          |                              |
8MM 2                                                                                              | D13          | DVD          |                              |
Lie with me                                                                                        | D14          | DVD          |                              |
A Short Film About Love                                                                            | D15          | DVD          |                              |
Basic Instinct 2                                                                                   | D17          | DVD          |                              |
The Head in the clouds                                                                             | D18          | DVD          |                              |
The Exorcism of Emily Rose                                                                         | D19          | DVD          |                              |
Animal(Rob Schneider)                                                                              | D20          | DVD          |                              |
Casino                                                                                             | D24          | DVD          |                              |
Alexander                                                                                          | D3           | DVD          |                              |
Hard Target                                                                                        | D5           | DVD          |                              |
Legionnaire                                                                                        | D5           | DVD          |                              |
Maximum Risk                                                                                       | D5           | DVD          |                              |
Replicant                                                                                          | D5           | DVD          |                              |
Tamara                                                                                             | D6           | DVD          |                              |
Tess                                                                                               | D6           | DVD          |                              |
Trasgredire(Cheeky)                                                                                | D8           | DVD          |                              |
Thelma & Louise                                                                                    | D9           | DVD          |                              |
Natural born killers                                                                               | E1           | 1            |                              |
Nightmare before christmass                                                                        | E1           | 1            |                              |
Once Upon a Time in China (1991)                                                                   | E1           | 2            |                              |
Once Upon a Time in China II (1992)                                                                | E1           | 2            |                              |
Soldier                                                                                            | E10          | 2            |                              |
Space cowboys                                                                                      | E10          | 1            |                              |
Sphere                                                                                             | E10          | 1            |                              |
Spider man                                                                                         | E10          | 2            |                              |
Roller ball                                                                                        | E11          | 1            |                              |
Serendipity                                                                                        | E11          | 1            |                              |
Seretary                                                                                           | E11          | 1            |                              |
Sex and lucia                                                                                      | E11          | 1            |                              |
Space balls                                                                                        | E11          | 1            |                              |
The Poseidon Adventure                                                                             | E12          | 2            |                              |
Undisputed II Last Man Standing                                                                    | E12          | 2            |                              |
Unfaithful                                                                                         | E12          | 2            |                              |
Starsky & Hutch                                                                                    | E13          | 1            |                              |
Summer of Sam                                                                                      | E13          | 1            |                              |
The Messenger The Story of Joan of Arc                                                             | E13          | 2            |                              |
Whirlpool                                                                                          | E13          | 1            |                              |
Princess diaries                                                                                   | E14          | 2            |                              |
Rasing helen                                                                                       | E14          | 1            |                              |
Ray                                                                                                | E14          | 2            |                              |
Rocky II                                                                                           | E14          | 1            |                              |
Portrait Of A Lady                                                                                 | E15          | 1            |                              |
Risky Business                                                                                     | E15          | 1            |                              |
Romancing the stones                                                                               | E15          | 1            |                              |
Runaway Jury                                                                                       | E15          | 1            |                              |
Saving Silverman                                                                                   | E15          | 1            |                              |
Stardust Memories                                                                                  | E15          | 1            |                              |
One Night At Mccools                                                                               | E16          | 1            |                              |
The One                                                                                            | E16          | 1            |                              |
Out of time                                                                                        | E16          | 1            |                              |
Outbreak                                                                                           | E16          | 1            |                              |
Pay it forward                                                                                     | E16          | 2            |                              |
Murder at the Gallop                                                                               | E17          | 1            |                              |
My Boss's Daughter                                                                                 | E17          | 1            |                              |
Niagara                                                                                            | E17          | 1            |                              |
Our Hospitality                                                                                    | E17          | 1            |                              |
Patton                                                                                             | E17          | 2            |                              |
The Last Emperor                                                                                   | E18          | 1            |                              |
Midnight In The Garden Of Good And Evil                                                            | E18          | 2            |                              |
Mrs. Doubtfire                                                                                     | E18          | 2            |                              |
The Naked Gun 2(the smell of fear)                                                                 | E19          | 1            |                              |
Legend of 1900                                                                                     | E19          | 1            |                              |
Lock, Stock and Two Smoking Barrels                                                                | E19          | 1            |                              |
Mexican                                                                                            | E19          | 2            |                              |
Mission to mars                                                                                    | E19          | 1            |                              |
Wild Things  III (Diamonds in the Rough)                                                           | E2           | 1            |                              |
Wife vs. Secretary                                                                                 | E2           | 1            |                              |
White chicks                                                                                       | E2           | 1            |                              |
The Omen II - Damien                                                                               | E2           | 1            |                              |
The Omen III - The Final Conflict                                                                  | E2           | 1            |                              |
House of Flying Daggers                                                                            | E20          | 2            |                              |
Jay and Silent Bob Strike Back                                                                     | E20          | 1            |                              |
Joy Ride                                                                                           | E20          | 1            |                              |
Labyrinth                                                                                          | E20          | 1            |                              |
Intolerance - Love's Struggle Throughout the Ages                                                  | E21          | 3            |                              |
It Came from Outer Space                                                                           | E21          | 1            |                              |
Jackal                                                                                             | E21          | 1            |                              |
Jane Eyre                                                                                          | E21          | 1            |                              |
Hard boiled                                                                                        | E22          | 2            |                              |
High crimes                                                                                        | E22          | 1            |                              |
Honey                                                                                              | E22          | 1            |                              |
Hot Shots                                                                                          | E22          | 1            |                              |
Into The Blue                                                                                      | E22          | 1            |                              |
I Spy                                                                                              | E23          | 1            |                              |
I, Robot                                                                                           | E23          | 1            |                              |
Impostor                                                                                           | E23          | 1            |                              |
In Her Shoes                                                                                       | E23          | 2            |                              |
Investigation of a Citizen Above Suspicion [Indagine su un cittadino al di sopra di ogni sospetto] | E23          | 1            |                              |
Grease                                                                                             | E24          | 2            |                              |
Hang 'em high                                                                                      | E24          | 1            |                              |
Hackers 1                                                                                          | E24          | 1            |                              |
Happy gilmore                                                                                      | E24          | 1            |                              |
Hart's War                                                                                         | E24          | 1            |                              |
Heavenly Creatures                                                                                 | E25          | 1            |                              |
Hitler The Rise of Evil                                                                            | E25          | 2            |                              |
House on Haunted Hill                                                                              | E25          | 1            | F49                          | 1
Hustle & Flow                                                                                      | E25          | 2            |                              |
Fiddler on the Roof                                                                                | E26          | 1            |                              |
Flashdance                                                                                         | E26          | 1            |                              |
Ginger Snaps 2                                                                                     | E26          | 1            |                              |
Glory                                                                                              | E26          | 2            |                              |
The Great Raid                                                                                     | E26          | 1            |                              |
Frankenstein                                                                                       | E27          | 2            |                              |
Frankie and Johnny                                                                                 | E27          | 2            |                              |
Gattaca                                                                                            | E27          | 1            |                              |
Ghosts Of Mars                                                                                     | E27          | 1            |                              |
Crazy Beautiful                                                                                    | E28          | 1            |                              |
Fallen                                                                                             | E28          | 2            |                              |
Fateless                                                                                           | E28          | 2            |                              |
Father of the Bride                                                                                | E28          | 2            |                              |
Don't say a word                                                                                   | E29          | 1            |                              |
Driven                                                                                             | E29          | 2            |                              |
Evita                                                                                              | E29          | 2            |                              |
Excalibur                                                                                          | E29          | 1            |                              |
Spider Man 2                                                                                       | E3           | 1            |                              |
Starwars I - the phantom manace                                                                    | E3           | 1            |                              |
Stromboli                                                                                          | E3           | 1            |                              |
The Addams Family                                                                                  | E3           | 1            |                              |
The Life Aquatic with Steve Zissou                                                                 | E3           | 1            |                              |
The Perfect Storm                                                                                  | E3           | 1            |                              |
Cold harvest                                                                                       | E30          | 2            |                              |
Cold mountain                                                                                      | E30          | 2            |                              |
Curse of jade scorpion                                                                             | E30          | 1            |                              |
Deep blue see                                                                                      | E30          | 1            |                              |
Cat Ballou                                                                                         | E31          | 1            |                              |
Charlotte's Web                                                                                    | E31          | 1            |                              |
Chronicles of Narnia The Lion, the Witch and the Wardrobe                                          | E31          | 2            |                              |
The,Cider House Rules                                                                              | E31          | 1            |                              |
Collateral Damage                                                                                  | E31          | 1            |                              |
Chronicles of riddick                                                                              | E32          | 2            |                              |
Cloud 9                                                                                            | E32          | 1            |                              |
Club Dread                                                                                         | E32          | 2            |                              |
Clueless                                                                                           | E32          | 1            |                              |
A Bronx Tale                                                                                       | E33          | 1            |                              |
The 'Burbs                                                                                         | E33          | 1            |                              |
Blind Chance                                                                                       | E33          | 1            |                              |
The Born Fighter                                                                                   | E33          | 1            |                              |
Boxcar Bertha                                                                                      | E33          | 1            |                              |
Big hit                                                                                            | E34          | 2            |                              |
Breakfast club                                                                                     | E34          | 1            |                              |
The Cable Guy                                                                                      | E34          | 1            |                              |
Carrie                                                                                             | E34          | 1            |                              |
Chain reaction                                                                                     | E34          | 2            |                              |
3 days of condor                                                                                   | E35          | 1            |                              |
Along came a spider                                                                                | E35          | 1            |                              |
American Psycho II All American Girl                                                               | E35          | 1            |                              |
America's sweetheart                                                                               | E35          | 1            |                              |
Animal farm                                                                                        | E35          | 1            |                              |
Ben Hur                                                                                            | E36          | 4            |                              |
Blazing Saddles                                                                                    | E36          | 1            |                              |
Bonjour tristesse                                                                                  | E36          | 1            |                              |
Taxi                                                                                               | E37          | 1            |                              |
A Man Apart                                                                                        | E37          | 1            |                              |
Assault on precinct 13                                                                             | E37          | 1            |                              |
Awakenings                                                                                         | E37          | 2            |                              |
Birdy                                                                                              | E37          | 1            |                              |
8 mile                                                                                             | E38          | 1            |                              |
Adam & Steve                                                                                       | E38          | 1            |                              |
Alien 3                                                                                            | E38          | 1            |                              |
Alien 4 resurrection                                                                               | E38          | 1            |                              |
All the President's Men                                                                            | E38          | 2            |                              |
Eternity and a Day [Mia aioniotita kai mia mera]                                                   | E39          | 1            |                              |
Frida                                                                                              | E39          | 2            |                              |
50 Ways to Leave Your Lover (How to Lose Your Lover)                                               | E39          | 2            |                              |
Pitch Black                                                                                        | E39          | 1            |                              |
Dude, Where Is My Car                                                                              | E4           | 1            |                              |
Blue Crush                                                                                         | E4           | 1            |                              |
JUMANJI                                                                                            | E4           | 1            |                              |
Rocky IV                                                                                           | E4           | 1            |                              |
When Harry Met Sally...                                                                            | E4           | 1            |                              |
Cabin Fever                                                                                        | E40          | 1            |                              |
The Ladykillers(1955)                                                                              | E40          | 1            |                              |
Naked                                                                                              | E40          | 2            |                              |
Take the Money and Run                                                                             | E40          | 1            |                              |
We're No Angels                                                                                    | E40          | 1            |                              |
The Glenn Miller Story                                                                             | E41          | 1            |                              |
The Freshman                                                                                       | E41          | 1            |                              |
Full Frontal                                                                                       | E41          | 1            |                              |
Hamlet                                                                                             | E41          | 1            |                              |
Harakiri [Seppuku]                                                                                 | E41          | 2            |                              |
The Enigma of Kaspar Hauser                                                                        | E42          | 1            |                              |
Fragiles                                                                                           | E42          | 1            |                              |
Erin Brockovich                                                                                    | E42          | 1            |                              |
Foolish Wives                                                                                      | E42          | 2            |                              |
English Patient                                                                                    | E42          | 1            |                              |
Cats and Dogs                                                                                      | E43          | 1            |                              |
Camille                                                                                            | E43          | 1            |                              |
City Hall                                                                                          | E43          | 1            |                              |
Dune                                                                                               | E43          | 1            |                              |
Easy Rider                                                                                         | E43          | 1            |                              |
Elvira Madigan                                                                                     | E43          | 1            |                              |
Birdman of Alcatraz                                                                                | E44          | 2            |                              |
Barabbas                                                                                           | E44          | 1            |                              |
Bed and Sofa                                                                                       | E44          | 1            |                              |
Born on the Fourth of July                                                                         | E44          | 2            |                              |
Mimic                                                                                              | E45          | 1            |                              |
Mousehunt                                                                                          | E45          | 1            |                              |
Out Of Sight                                                                                       | E45          | 1            |                              |
My Fair Lady                                                                                       | E45          | 2            |                              |
Orpheus [Orph‚e]                                                                                | E45          | 1            |                              |
Kanto Wanderer [Kanto mushuku]                                                                     | E46          | 1            |                              |
Indecent Proposal                                                                                  | E46          | 1            |                              |
Knock Off                                                                                          | E46          | 1            |                              |
Loser                                                                                              | E46          | 1            |                              |
Mars Attacks!                                                                                      | E46          | 1            |                              |
Millions                                                                                           | E46          | 1            |                              |
Alice in Wonderland                                                                                | E47          | 1            |                              |
American Flyers                                                                                    | E47          | 1            |                              |
Analyze That                                                                                       | E47          | 1            |                              |
And Justice for All                                                                                | E47          | 1            |                              |
Rocky V                                                                                            | E47          | 1            |                              |
Star Wars II - Attack of the Clones                                                                | E47          | 1            |                              |
Sweet Home Alabama                                                                                 | E48          | 1            |                              |
The Damned                                                                                         | E48          | 1            |                              |
The Dead Zone                                                                                      | E48          | 1            |                              |
The Hunt For Red October                                                                           | E48          | 1            |                              |
The Manchurian Candidate                                                                           | E48          | 2            |                              |
River of No Return                                                                                 | E49          | 1            |                              |
Saved                                                                                              | E49          | 2            |                              |
